ksz_GBBvvCU|ДМИТРИЙ ДОЛГОВ. "С берега".
TbC5DT0oPus|СЕРГЕЙ ДОРОФЕЕВ. "Нынешняя война".
7ylU868qB-8|ОЛЕГ РЫЖЕНКО. "Гуцулка Ксеня".
wWNxNxzHFNw|ЮЛИЯ АБЛАЕВА. "К пустым полям (посвящение Константину Сигову)"
HTGXl5w4ukI|ИГОРЬ ЖУК. "Вальс на грани времён".
WJoFqGFVBbU|Дима Курилов  - Собачка (Аккорды)
wISbdi5V9Uk|АРИЭЛА МАРИНА МЕЛАМЕД. "Гимн еврейских партизан".
_niRbHtVnEw|ИРИНА БАРАБАШ. "У старости мальчишечьи глаза".
L3ov9vhZl8s|НАТАЛЬЯ ГЕРШАНИК И ПАВЕЛ ГРЕБЕНЮК. "Що в нас було".
RvTJ4E9Xy6g|ЯЦЕК БЕЩЧИНСКИЙ. "Грузинская песня".
XEMm3AcWExw|АЛЕКСАНДР ЮРЬЕВ. «Перемирие».
crv6WEYAXF4|ЭМИЛИЯ РОЗЕНШТЕЙН. "Не моя идёт война".
aXYro87XG-E|АРКАДИЙ ЗИЛЬБЕРБЕРГ. "Думи мої, думи мої".
FHAPJupR7K0|2023, 16 сентября - Творческая кухня "Репетиция №12" с Сергеем Рубашкиным
zYMudzNgA08|ЯЦЕК БЕЩЧИНСКИЙ. "Кони привередливые".
-D4FYUHObxk|НАТАЛЬЯ ГРИНБАУМ-СМИРНОС. "Пісня про рушник".
Qt1kuuoJUyo|ЖАННА БАДАЛЯН. "Вернись в Сорренто".
NnWl8cmiHU4|ИГОРЬ ЖУК. "Иерусалимский романс".
cupQ8gw2VU4|ЛЕОНИД ХАСЛАВСКИЙ. "Как планета над сонмом прочих".
w8-sPao7Hts|ЯН ТОРБАН. "Зимой".
oMwn-eJv4Zg|ЯЦЕК БЕЩЧИНСКИЙ. "What a Wonderful World".
wOzwaV1UcYY|ТИМУР ФИШЕЛЬ. "Всё глуше музыка души".
kvpW_TY5qPg|МИХАИЛ ГАНТМАН. "Песня о Киеве".
2OxqclPg72I|ИРИНА БАРАБАШ И ЮРИЙ ЧЕРКАШИН. "Машет красной косынкой закат ...".
yLq14fvjxMc|ОСИК ДОЛГОЙ. "Если косы дождей...".
5vjLTD3D8S0|ВИТА ЛЕВИНСОН. "Парус".
zmlXOatzYpU|ОЛЕГ РЫЖЕНКО. "Пятая колыбельная".
pTNNCj4IFEI|ДМИТРИЙ ДОЛГОВ. "Колыбельная для ангела".
LdOA9fAkq30|НАТАЛЬЯ ГРИНБАУМ-СМИРНОС. "Осінній день".
oOr9ADgEd5w|ЮЛИЯ АБЛАЕВА. "Вёрсты, вёрсты". Стихи Б. Окуджавы, музыка М. Вайнберга.
IDFGlZZgwIc|ЕФИМ и ЯКОВ ШАПИРО. "Пшеница вновь цветет".
2fEUd_iqJ3A|ВЛАДИМИР ЗАЧЕПА. "Вийди, дівчино".
LBLRs2h8n-4|МАКС РЕМПЕЛЬ. "Я друга любил сотню лет".
EFLMjbBEEts|ЕФИМ и ЯКОВ ШАПИРО. "Останнє прохання старого лiрника".
wXMKJ9cFEbQ|МАРИНА БЕЛКИНА. "В темноте".
D3fZh8Ixtnc|ЯЦЕК БЕЩЧИНСКИЙ. "What a Wonderful World".
iQKfjDtoPEE|АЛЕКСАНДР НОСКОВ. "Я исчезнуть из жизни твоей не смогу".
4X4jrM44M1k|2023, 1 июля - Творческая кухня "Репетиция №11" с Сергеем Рубашкиным
KnMI0eZjM9g|ВЛАДИМИР ЗАЧЕПА. "Обнимаю, целую, скучаю".
sT_Z4ZvAOf4|ЮЛИЯ АБЛАЕВА. "Славянский танец". Песня Владимира КАДЕНКО.
icGdhZB2uhw|РОЛАНД КОЛХЭЛИ. "Молитва".
X2Oh6FJEaOA|ИГОРЬ НИКИТИН. "О Харькове".
ndFYx_TkJYw|АРИЭЛА МАРИНА МЕЛАМЕД. "Этот день, он однажды придёт".
i5I3Q0GnbuA|БОРИС ШАХНОВИЧ. "Друг мой, не надо слов".
OtZKew39cN0|ЛЮСЯ И ЛЕНЯ МЕЕРОВИЧ. "Так темно".
C5tKeiCVB7E|ИГОРЬ ЖУК. "Сладкое время, глядишь, обернётся копейкою".
sqMIdlfHRxA|ИННА ТРУФАНОВА. "Коли закінчиться війна".
d30sPzDChWI|ВИКТОРИЯ СЛАВИНСКАЯ. "Без войны".
Ks1w_jngNdw|АРКАДИЙ ЗИЛЬБЕРБЕРГ. "Охота на волков".
v8PVvFOVUDI|ИРИНА БАРАБАШ И ЮРИЙ ЧЕРКАШИН. "Грузинская".
5tDmtlGcgfU|Эзотерика песни, кухня 2, Ариэла, Макс и Тамза, 20 мая 2023 г.
2yFPAIBVJd4|ЖАН СЕЛЕЗЕНЕВ. "Каждый выбирает для себя".
a1dKS2Wcon8|Под небом голубым, Анри Волхонский, Владимир Вавилов, Б.Г. на посиделках ТамзыСД, янв 2023
uI0APAKwU-s|СЕРГЕЙ РУБАШКИН. "Еще раз о черте".
TRjOIM-xngg|Эзотерика песни - Ариэла и Макс - творч. кухня на Тамзе
X0bRhxLqGmk|ИРИНА БАРАБАШ И ЮРИЙ ЧЕРКАШИН. "Миг перед зарёй".
9LdEMrneTYU|ИГОРЬ ЖУК. "Взяться за руки не я ли призывал вас, господа".
DH8s-TIkCno|ГАРИ ЛАЙТ. "Время победит".
HnP97ASJjCc|ЭД ПРИЗАНТ. "Подняться в небо".
d9OLnlOIkEg|АЛЕКСЕЙ КИСКАЧИ. "Марлен".
9ekXBVJMsNw|Окуджава. ТАМЗА 22 апреля, 2023
jyAVB7ei8dw|МИХАИЛ КАПЛУНОВ. "Новая алгебра".
F0bSKkVNVCU|Кухня - песня Макса Ремпеля
Ugfnth90qvA|МИХАИЛ НОВИЦКИЙ. "Надели пилотки, поют о войне".
ixwtgLKOgbA|ЯЦЕК БЕЩЧИНСКИЙ. "Музыка против войны".
w5vQUaa0prc|Алена Шабес и Саша Носков возле гостеприимного камина Макса Ремпеля. Сан-Диего, 04 апреля 2023 года.
0S7CTwNalcU|АРИЭЛА МАРИНА МЕЛАМЕД. "Наше время тревогу трубить".
WH_FovdVJcg|ВАЛЕРИЙ СОЛДАТОВ. "Я сегодня очень весел" (Б. Окуджаве).
RSrDqAlcYhY|МАРК ШМУЛЕВИЧ. "Лили Марлен".
o1TrEkvWA7M|2023, 1 апреля -  (гал) Творческая кухня “Конферанс и болтология” с Сашей Носковым и Эдом Призантом
ZicVfIeNCxw|Алексей Кудрявцев поет Высоцкого и свои песни, ТамзаСД, домашник в Сан Диего. Февраль 2023 г.
LCcnvR7bz_4|МАРГАРИТА ФЕЛЬДМАН. "Девочка, не жалуйся на скуку".
WW-q_i2WR1Q|ОЛЕГ РЫЖЕНКО. "Снежный блюз".
1R1J7bpKQM8|Во славу Греции, М. Щербаков, посиделки ТамзыСД, 29 янв 2023
dKCQnfUShVM|ГПК 22 января, 2023
SLxOKL85FMs|ИРИНА БАРАБАШ и ЮРИЙ ЧЕРКАШИН. "Военная цыганочка".
RHm-2ieL_GI|Макс Ремпель - треп на 3й день рождения Тамзы
WAyIEGHOQOc|По Смоленской дороге, Окуджава, Посиделки ТамзыСД, 20230129
PeOtG-m13nI|ВЛАДИМИР НОВИКОВ. "Как на Ваганьково ходили".
fnDmn5xPj00|2023, 11 марта - Творческая Кухня "Репетиция №10" с Сергеем Рубашкиным
OUZCWsntgMw|Сергей Рубашкин, исполнительская кухня на Тамзе. 640x360 2
r_K5u8qtxto|ИРИНА БАРАБАШ. "Ты, пожалуйста, выживи в этой войне".
7pZD_TNuMXg|Давайте восклицать, Окуджава, исп. Макс, Оксана и Таня
PpUApoLw5ak|ИННА ТРУФАНОВА. "Небажані бажання".
k_UqD0kJAuA|Как приглашать френдов на мероприятие в ФБ
kanRmV9yl9Q|АЛЕКСАНДР ГОЛДОБИН. "Вормс".
fyUAM-pxq10|ДМИТРИЙ ДОЛГОВ. "Предчувствие войны".
7S7OpILukH0|ЯЦЕК БЕЩЧИНСКИЙ. "Ваше благородие".
bBKkNS4hy_0|На твои загорелые плечи - песня Макса Ремпеля
DEhG_IwmZWA|МАКС РЕМПЕЛЬ. "Мимо жизнь идёт, идёт".
7myAocqX8qI|Алексей Кудрявцев поет Высоцкого, домашник у Макса Ремпеля, 26 фев, 2023 г.
RezGO1NBfRs|День пролетел - песня Макса Ремпеля, стихи Али Хайтлиной
AL_x8c8MaWk|ИРИНА БАРАБАШ. "Нехитрая песенка".
2MbfG1YUe7c|ИГОРЬ ЖУК. "Грузинська пісня".
gjfL7n4Q1-s|МАЙЯ И АЛЕКСАНДР ГОЛДОБИНЫ. "Мить".
e0dLWQ-ZWtE|АННА ЗАХАРОВА. "Времена не выбирают".
uG0b3O1IOQ8|НАТАЛЬЯ ГРИНБАУМ-СМИРНОС. "Море черное".
PlxyAGhU_F0|Снег идет, Сергей Никитин, исп. Макс, Оксана и Таня, Посиделки ТамзыСД. 29 янв 2023
PqBw7KPnNo4|МАКС ГОЛД. "Ночь июльская, середина лета".
tK1KFGUMhXY|ЭМИЛИЯ РОЗЕНШТЕЙН. "Берег моря".
jxMJGhJDjfg|Я друга любил, Эли Бар Яалом, Макс Ремпель, Таня Доценко
_C3o-PEt0TA|ЮРИЙ ЧЕРКАШИН. "Осень"
tdG5k6WKsmA|Шалом Алейхем, исп Макс Ремпель и Таня Доценко, посиделки ТамзыСД, 20230129
eiVQSo34EnQ|ТамзаСД, Сан Диего, посиделки, Ремпель, Носков, Ермолаев, Введенский, Доценко
uiOHs_y8VmY|2023, 25 января - Гитарная студия №49 с Роландом Колхэли Часть 1
RAM0x-Yft-g|2023, 25 января - Гитарная студия №49 с Роландом Колхэли. Часть 2.
QbeIUzU3hEE|Про Грибоеда, песня Макса Ремпеля
57E2iwVUeCA|Напишем с тобою письмо
nigbTPi9Rw8|Альгин
iuhz8rGF0bo|2022, 22 ноября - Гитарная студия №48 с Роландом Колхэли
9flLoQvD35Q|Концерт на пляжу, Тамза, Ремпель, Носков, Доценки, Рапопорт, Полесская, Сан Диего, 15 ноя, 2022
J22ymJ-rcFw|Гитара по кругу, Тамза 20 ноября 2022 г.
KV-FOlFFMus|2022, 12 ноября - Творческая кухня, "Репетиция №9" с Сергеем Рубашкиным
V1Xm7XPDi8o|Лекарства Украине №25 - Осик Долгой
cu5sNrfIaLk|Лекарства Украине #31 10/22/2022
dgotYTWONuk|Творческая кухня Александра и Майи Галдобиных. 10/15/2022
qQzhA1-Z2oQ|Концерт Лекарства Украине, клуб Тамза на слете ХалаБала, 24 сент 2022 г.
-MA5EsPBnZg|Тамза на Кактусе, слет Хала-Бала в Сан Диего, 24 сент, 2022 г.
kNJBk82SGUQ|Дмитрий Богданов - получасовка на слете Халабала Клуба Кактус, 24 сент 2022 г.
y-E-cICWQ6o|Юлий Ким, концерт в Сан Диего, 26 сентября 2022 г.
0oXuGUsVOOo|Правда есть - песня Голдобиных, 24 сент, 2022г.
KQpCCxxYj_I|Гитара по кругу - 25 сент. 2022 г.
urzMZfCO5WA|Шалом алейхем - старая хасидская молитва, перевод и исп. Макса Ремпеля
EFx8E9vHQr8|Там, где купальни, песня Макса Ремпеля, ст. Осипа Мандельштама
M0kaX9R1A1Y|Байканур на Тамзе,   27 авг. 2022 г.
6v4PgDLJR4Y|Гитара по кругу Тамза, 21 авг. 2022 г. - Полная версия (с Рестрима)
LoPo9gh3UUM|Маленькi Перемоги
A11ZyV6Egtc|Трах-тарарах, песня Макса Ремпеля, ст. Эли Бар-Яалома
H1z64a6Cdz8|Поёт Дмитрий Богданов 1.
iNI1Dahb83g|Дуэт "Белый Рояль" в проекте Лекарства Украине №21
DasX3vtpRSQ|На белый лист - песня Макс Ремпель, ст. Ариэла Меламед, ж. Елена Маркова.
QkyKSXi_ezQ|Бенефис Роланда Колхэли
M1Skdfotgp4|Лекарства Украине №20, Виктор Гагин и Тамза, 6 авг
Qn4ZgwlucKA|Проект Лекарства Украине (Тамза) в гостях у Цодикова
5E0OWOIw8gM|Happy 50th Anniversary!
Wtcka_4NgJw|2022, 10 июля - Творческая кухня c Сергеем Рубашкиным. Репетиция №8.
Jo7Z4ZusMwU|2022, 4 июня - Творческая кухня "Подбирая музыку к словам" с Ариэлой Мариной Меламед
I6TNk5H7lOo|Дмитрий Быков "Русский народный Окуджава", Сан Маркос, 30 мая 2022 г.
CH9Vw-Op3Jw|Дмитрий Быков, стихи в Сан Диего и фрагменты из Беспредельщицы, 29 мая 2022
ZMyYIJoJHnQ|2022, 21 мая - Творческая кухня "Пейзаж под майонезом" с Сашей Носковым
MkmBL4bNN0g|Лекарства Украине/ОкМост- Лайт, Молодид, Ремпель, Оберландер, Фет и др, стихи и песни - 15 мая 2022
Wo9-5I8TlQg|2022, 14 мая - Творческая кухня с Сергеем Рубашкиным. Репетиция №7.
blj9TBZRp7E|Летний день - Summer time Гершвина, исполняет Макс Ремпель
d3YZp6dHgt0|I am returning to the velvet blue - song by Max Rempel
vhhddDmAtIY|Наконец-то распогодилась погода - песня Макса Ремпеля
SKefFUZ7Ork|2022, 7 мая - Творческая Кухня "Теплий вітер з України" с Олегом Рыженко и Ариэлой Мариной Меламед
6AaaiEQOKlI|Гари Лайт и Макс Ремпель - стихи и песни, Лекарства Украине, 1 мая, 2022 г.
XlYPkNd9kOQ|2022, 2 апреля - Творческая кухня с Дмитрием Коломенским
VCNUiIzqKeE|Дмитрий Богданов
SmFvQ4LboZU|Александр Щербина, 6 мар 2022, концерт в Сан Диего, CA
Wl-AxcWqH60|19 марта, 2022 - Творческая кухня с Эдом Призантом
l7fKTwwdMlw|2022, 5 марта - Творческая кухня - Певческая Школа Ариэлы Марины Меламед
ldv0iKlZ_44|Как создать Авторский файл для Картотеки на Тамзе - короткий вариант
g0yY6aWWElg|Как создать Авторский файл для Картотеки на Тамзе
6ygcaeMxGQ0|Жаль - песня Макса Ремпеля, исп. с Таней Рапопорт
t18MBz--OIY|О песне в Штатах - Ежевская, Носков и Ремпель
j9TMwpTDkfo|2022, 5 февраля - Творческая кухня "Поэтическая" с Максом Ремпелем и Сергеем Синельниковым.
qHamhjtDR7M|Творческая Кухня с Сергеем Рубашкиным. Репетиция №6 - 22 янв 2022.
_mgO7eLavcE|На грани двух веков, песня Макса Ремпеля, исп.  Валерий  Солдатов
tZI6WOzdxQQ|Бухта Барахта - песня Макса Ремпеля
afIejx_JaDk|Владимир Фрумкин - мемуарный разговор об истории песни на д.р. Кима на Тамзе
eiIq3zp_YTI|Марат Ким - мемуарные записки на день рождения Юлия Кима на Тамзе
6AACEDlWAF0|Творческая Кухня с Эдом Призантом “Что такое гитара и как с ней бороться” на Тамзе. 8 янв 2022 г.
39JgyRoEwSA|Новый Год на ТамЗе 31 Дек. 2021 г. - часть 2
TxKfLGVscgw|Киму 85
DKMf4BBpR7g|Творческая кухня с Александром Щербиной на Тамзе  18 декабря, 2021
qkc6hF828_Y|Мы подчинимся - песня Макса Ремпеля
lSa6jbwf2s8|2-я  Трухановская встреча. 4 дек., 2021г.
E9XY29LkRxY|Открытая гитарная студия на Тамзе. 11/24/2020
1MXA_8KVp0Y|Звезда упала - песня Макса Ремпеля
zPZHI4iCg-M|Песни под гитару, Сан Диего   Клуб Тамза на пляжу 2021 11 20
GZKJLF2knH0|2021, 20 ноября, Творческая Кухня с Сергеем Рубашкиным "Репетиция №5"
QRu9Ho-BHsw|Саша Носков - дворовый концерт в Сан Диего 13 ноя. 2021 г.
Fw6QO3atGbc|2021, 13 ноября - Творческая кухня с Ариэлой Мариной Меламед
vd94Fn5gK-o|Концерт на пляжу в Сан Диего  23 октябя, 2021
9Rp5cl3sqwk|2021, 23 Октября - Творческая Кухня с Сергеем Нотиком
LLjXfibDBBs|Приглашение на 2-й конкурс клуба Тамза и Бард-радио
ixdyJrcdXzQ|2021, 9 Октября - Творческая Кухня с Юлией Зиганшиной
6rdZ9o770Nk|Триалог: Юля Архитекторова, Эли и Юдит Бар-Яалом и Макс Ремпель, 9 окт, 2021г.
ogaL_OzDQ4c|Распустила волосы - песня Макса Ремпеля
jr6A6wdFf54|Приглашение на второй конкурс Тамзы и Бард-радио
heT7AM5KqN8|Концертик Макса Ремпеля 25 сент 2021 г.
lZrl43XHp2Q|2021, 18 сентября - Творческая кухня "Винегрет" с Мариной Белкиной
uM2btBeO7eU|Макс Ремпель, домашний концерт, 4 авг, 2021 г.
hEtg6uwXAuU|2021, 4 сентября - Творческая кухня с Даниилом Гараниным
LLh7N9T1yU0|2021, 21 Августа - Творческая кухня - с Антоном Трофимовым
oiiQItZOMdE|23 Августа, 2021 - Песня о любви (Песня-спектакль)
jezOvvDYNPw|2021, 24 июля - Творческая Кухня с Лией Черняковой "Каждый слышит, как он дышит"
N-mMQsJtXiE|2021, 3 июля - Творческая кухня с Сергеем Рубашкиным "Репетиция №4"
iXyWRTBrM2k|2021, 5 июня - Творческая Кухня "Угадайка" с Лией Черняковой
GsBgjHOdaqw|"Фиг Ли Ньюс" - зум-журнал под гитару 12/29/2020
1W10WISB_WM|Вторая шаманская, рождественская.
oDTTO87uDV8|Как настроить зум для пения на русском телефоне
4AZx-6B9LF4|Как настроить звук оригинала в русском зуме на компьютере
yzbDU1xog8Q|2021, 15 мая - Творческая кухня с Сергеем Рубашкиным (Плитка)
_bbNZG6Pp6A|Аня Ковалёва
Rv7Cm0UCUkA|Гитара по кругу 09/13/2020
KHVLq3makjo|Встань, делай как я, ни от кого не завись!   арт перекресток виртуального слета АП  КСП Мидвест
WHOwKR8MUmw|Творческая кухня Макса Ремпеля  04-24-2021
SxI8O5UzR9Q|Что тешит тебя в этом дыму неудач   Костры фестиваля АП клуба  КСП Мидвест 09 13 2020
eD9UEvA3YLE|Гитарный круг на ТамЗе 10 04 2020
7kPgN17DIg8|Пробный Шар   Кафе на перекрестке 11 03 2020
A4TDGOyLNOc|Приглашение на первый авторский конкурс Тамзы
vR-KBP36lTM|Гитара по кругу 04/11/2021
9AP9Xs5UT3A|Творческая Кухня 3 Апр 2021 с Ариэлой Мариной Меламед
G1agviv9tOQ|Гимн Тамзы
hYxQr0il5Uk|2021, 20 Марта - Творческая кухня - Репетиция 2 - с Сергеем Рубашкиным
7uB_TyGSYC8|Уже все иначе
bp2HOzvcV_8|Миша Каплунов   Помнишь, как ты меня учила шить
sYHRoS1bN30|Открытая гитарная зум-студия на ТамЗе. 03/02/2021
NDu9ye_1Is8|6 Марта 2021 Творческая кухня (Певческая) с Натальей Гринбаум-Смирнос На Тамзе
uUWkpCZQXVk|2021, 20 февраля - Творческая кухня с Ларой Смирновой
z5pps7FHq70|Творческая Кухня с Сергеем Рубашкиным 02/06/2021
eko9bDRMwIk|Юрий Визбор  Ботик  Исполняет сводный хор ТАМза
uH15Xnz9P78|Поем Визбора, Синий перекрёсток, Клуб Тамза
QjJOekaJb-c|Поем Визбора, Позади лежит река - время, Клуб Тамза
B7C-Ee57YsA|Поем Визбора, Фанские Горы, Клуб Тамза
m28yckowT3s|Поем Визбора, Милая моя, Клуб Тамза
3fA067a8SGA|Мытье посуды - песня Макса Ремпеля
D1dKzVAy__o|Ирина Пиотровская. Деньрожденьские посиделки
6yo1V8TGvug|Гимн клуба ТамЗа
_5uPhJyGLJI|Открытая гитарная зум-студия на ТамЗе. 12/01/2020
ds88Dlm9THY|Я возвращаюсь - песня Макса Ремпеля
vr4S_Ex9jkQ|"Пробный шар" - зум кафе на перекрёстке. 11/17/2020
jO6BW9TMhgs|Гитара по кругу.  11/15/2020
YlMgydf94JA|Байканур. 14 ноября, 2020
sblaCgbp5JM|Вторая шаманская, рождественская
g8jTDJxtYLM|"Фиг Ли Ньюс" - зум-журнал под гитару 11/10/2020
GcMbT_GnX-A|Снегирь - песня Макса Ремпеля
pVmmUs4tLDw|Гитара по кругу. 11/1/2020.
KtBTTyKLLb0|Концерт Светланы Ветровой и Вадима Зубова. 31 октября, 2020
lMGplJLmGo8|Когда вернусь - песня Макса Ремпеля
YoROkaE-wvk|Гитара по кругу. 10/25/2020
RmVkivTjz50|Снегирь, песня Макса Ремпеля
FM_GDWm0Q6w|Вторая шаманская, рождественская - песня Макса Ремпеля
6IMPqUHPYjg|Байканур - байки и песни на ТамЗе. 24 октября, 2020
I1mFNVrL0lY|Гитара по кругу.  10-18-2020
eX85RLOnDRk|Эли Бар Ялом и Юдит Гиллик на Тамзе. 17 октября, 2020
yhL1qDTeRP4|Влад Крастошевский и Макс Ремпель на Тамзе
gf23gSddTFE|"Фиг Ли Ньюс" - зум-журнал под гитару 10/13/2020
3lDSdOK4y6A|Гитара по кругу. 10/11/ 2020
nHH3XFEQMaY|Игорь Кузьмин на ТамЗе.   10/10/2020
wQgq11bwsLU|Байканур.  10 октября, 2020
XXmr7jwhvNk|Тамза на пляжу 10 03 2020
nnu5U124CYs|Поём Окуджаву.  Том шестой.  Пока Земля ещё вертится
ygn12tt6HZE|Макс Ремпель поет свои песни, сентябрь 2020 г.
qgxqRKVz190|Майя и Алекс Голдобины на ТамЗе  26 cентября, 2020
19ubgWXYmD0|Гитара по кругу клуба ТамЗа   27 сентябя, 2020
V5bg2WuGmaU|ТамЗа   гитара по кругу 9 20 2020
m8dUb15c-00|Что ни говори, неба не ранишь мечом    он же Байканур 12 сент. 2020
54cJWBYnuPo|Марина Белкина на ТамЗе    Субботняя Среда  19 сентября 2020
NtCm6UdpmLs|Байканур    байки и песни по Субботам на ТамЗе  19 сент. 2020
jTuRjQUEJIY|Поём Окуджаву   Том пятый   Капельмейстеру хочется взлететь
xsORwHFnUXk|к чему повторяться - песня Макса Ремпеля
boIicGt_JLI|гречица -  - песня Макса Ремпеля
Q1Yee79u94Q|я возвращаюсь - песня Макса Ремпеля
IvuBiVH7zzI|я не знаю - песня Макса Ремпеля
iF1wEwCBNbc|что это было - песня Макса Ремпеля
XfjS0zoYEIE|Mы подчинимся - песня Макса Ремпеля
gXjnuFlnupc|Про Штирлица - Макс Ремпель
HChBug6REss|Первая шаманская - Макс Ремпель
W9g7FN8Th9Y|К чему повторяться - Макс Ремпель
9Lcpn6cs5rQ|Байканур, байки по субботам на ТамЗе  5 сент.  2020
x7q5OhYgtpY|Гитара по кругу на ТамЗе - 06 сент.  2020
arQFSc-BHjc|Ариэла Марина Меламед на ТамЗе  -  11 Шляп,  5 сент. 2020
OuXot-Q4sBo|Гитара по кругу на ТамЗе  08 30 2020
N44MuoSeKpk|Алексей Кискачи и Аркадий Дубинчик на Тамзе  08 29 2020
z2Im9GutnQo|Саркисовы на ТамЗе 08 01 2020
Hy9-EnWtDUQ|Гитара по кругу клуба Тамза 12 июля 2020
ldjCGS6g7Nk|Владимир Капгер на ТамЗе   18 июля 2020
cxNY26Xq4OI|Гитара по кругу на ТамЗе   19 июля 2020
a4Sj5PGGoQE|Алексей Кудрявцев и Дмитрий Вешнев на ТамЗе   25 июля 2020
j0aE0vfHi0s|Воскресная ТамЗа   26 июля 2020
8H4JEGrLD_8|Гитара по кругу клуба Тамза 08 23 2020
bHr2U2hKV3o|Гитара по кругу клуба Тамза 08 02 2020
P6vJrtL0KDI|Таня За и Катя Не на Тамзе  08 08 2020;
gKd8R5TgJAg|Гитара по кругу клуба Тамза  08 09 2020
jftFjjKSVM4|Ариэла Марина Меламед и Михаил Каплунов на ТамЗе 08 15 2020
J6M62TnZci4|Гитара по кругу клуба Тамза  08 16 2020
7_L6Aqu8BPQ|Андрей Компаниец на ТамЗе 08 22 2020
o8W6Hmfuxls|"Поём Окуджаву  Том четвёртый Надежды маленький оркестрик"
hNT4RTg_pKY|"Поём Окуджаву. Том третий: Каждый пишет, как он слышит"
RCLbI_e99kw|Юлий Ким на Тамзе "Букет из разнотравья", 11 июля 2020 г.
NaD_lS1GYz4|На четверых.  Ланцберги на Тамза -  20 июня, 2020 г.
7Ae26YzP6vA|Мастерская Лидии Чебоксаровой.  13 июня, 2020 г.
v4EE35nUtQM|Концерт Ксении и Льва Кузнецовых в клубе Тамза.  27 июня, 2020.
ZBVuopgH4rU|Грирорий и Александра Гладковы в клубе Тамза.   30 мая 2020 г
fQbFu7csaXE|Встеча с Алексеем Бруновым и Вячеславом Вахратимовым  в клубе Тамза. 23 мая, 2020 г.
Scxq4UWSQ-Q|Александр Галич .  Когда я вернусь... -   Марина Белкина, Сергей Синельников - клуб Тамза
F1ZzCYDvquY|Гитара по кругу   клуб Тамза   28 июня 2020 г
w36PRPNuaqU|Гитара по кругу   клуб Тамза   24 мая 2020 г
qP1MVLzQ1dk|Гитара по кругу   клуб Тамза   21 июня 2020 г
GGdtiLX07B0|Гитара по кругу   клуб Тамза   12 апреля 2020 г;
DMh2cWsiAtE|Гитара по кругу   клуб Тамза   14 июня 2020 г
bq5a86kmRfs|Гитара по кругу   клуб Тамза   17 мая 2020 г
2EvW9432JUM|Гитара по кругу   клуб Тамза   5 июля 2020 г
NqW2W14RkOI|"Поём Окуджаву. Том второй: Песенка короткая, как жизнь..."
xCFC2m3B6Q4|О принципе неопределенности Гейзенберга - песня Макса Ремпеля
JvA_p3s090o|ПЕРВАЯ ШАМАНСКАЯ - песня Макса Ремпеля
ZlgF5epvsQU|"Поём Окуджаву. Том первый: берег Булата"
uKpo43J9mP4|Я не знаю такого места и времени - песня Макса Ремпеля
BBkihXsVizw|Дмитрий Богданов, Лидия Чебоксарова и Евгений Быков на Тамзе, 16 мая 2020 г.
dRbxz9ZKEuM|Гитара по кругу - 31 мая 2020 г.
4deJSNzh_P4|Первая шаманская - Макс Ремпель
SBBcUK0XZQ4|Какая незадача, боже мой - Макс Ремпель
7wkM230r9i4|Я возвращаюсь - Макс Ремпель
QqZr-EbYn9g|Гречица умчится -  Макс Ремпель
WaAmR_O3P9s|По мокрым листьям - Макс Ремпель
HpqhHwY-waM|Гитара по кругу - Tamza.com 10 мая 2020 г.
zia5n0H8_MI|ПОЁМ КИМА!
QoREviYJQsI|Гитара по кругу - tamza.com, 3 мая 2020 г.
LPeETa6RbQw|Гитара по кругу - клуб Тамза  - 26 апр 2020 г -  Присоединяйтесь на tamza.com
mHbG8ki26lg|Я возвращаюсь - Макс Ремпель
ZfEn3xdd3Nk|Гитара по кругу - клуб Тамза  - 19 апр 2020 г -  Присоединяйтесь на tamza.com
533BQW23TW8|Настройка зума для пения
kj-r5N-YfF8|Гитара по кругу, клуб ТамЗа, 12 апр 2020 г
Pa1BU1uiGD0|Гитара по кругу - клуб ТамЗа 5 апр 2020 г
gXOF3uehu00|Мимо жизнь - песня Макса Ремпеля
d1JPfiu9HgM|Садится солнце - песня Макса Ремпеля
avgltaIpmkk|Иссык-Куль - песня Макса Ремпеля
9L7A7ajzGnA|Дождь прошел - песня Макса Ремпеля
6kGe1fb3lNY|Как настроить зум
pX_1m8DlMbA|Гитара по виртуальному кругу -  клуб ТамЗа 30 марта 2020
1ta2pChGE9E|Гречица - Макс Ремпель
HzuKSdmYhPI|Благовест - Макс Ремпель
YCWHPxP8XuQ|Гитара по виртуальному кругу 22 Марта 2020 г
T3r_4tzWXHs|Светлана Дмитриева   песни у костра сент 2019 MAH00877
NIpjK2TK6YY|MAH00881
Ao4yS7szy1g|MAH00879
E-lbHk5DHqk|MAH00880
JS6IKjHLP0w|Как записывать песни на Таскам
apJWAkDAsXg|Как пользоваться аудасити
QnwbEDKXWFo|2019 09 09   Борис Аронсон, клуб песни Кактус, Сан Диего 2019
P9iqeIiFrK0|Слет авторской песни клуба кактус, Сан Диего 2019
1a7m8hS0G-0|Светлана Дмитриева, клуб песни Кактус, Сан Диего 2019
ovD2TVfiF_M|Борис Аронсон, клуб песни Кактус, Сан Диего 2019
yUkr4_TD7y0|Клуб Кактус, слет Халабала 2018, вечерний концерт, часть 2
9jt0uD7MG94|Клуб Кактус, слет Халабала 2018, вечерний концерт, часть 1
